tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei
100000,4,0,10000,0,10,0,100,0,172800,1,60,0,7488788115292305088413,0,1216954267764545081586,644990914244420018055459,693454302394310000000000,699539161975000000000000,0,0,0,0,116967956544545092899,63779302822316320393
100000,4,1,0,0,10,0,100,0,172800,1,60,1420316046174672969992,7122894274332492499199,0,2448146779849488024560,601978017058822879899669,597675183848330000000000,603769954304000000000000,0,0,0,0,4009997471236,0
100000,4,1,5000,0,10,0,100,0,172800,1,60,709035596544170034149,7219842292333934762886,0,1803808981170778889043,603373136218488936668088,604333137381270000000000,610457900295000000000000,0,0,0,0,4009997478441,0
100000,4,1,10000,0,10,0,100,0,172800,1,60,0,7264094168392493169742,0,1213007655001125918096,604890578821111428971391,606621035132750000000000,612544594791000000000000,0,0,0,0,53996806196125929188,37542562273067057417
100000000,0,0,0,0,10,0,100,0,172800,1,60,735318469924514501742378,3852555810935947707800430,0,0,490766329158053926555491020,489413300711481930000000000,488050937090708000000000000,0,0,0,0,870219888675924971817675,1331200141215891169175356
100000000,0,0,5000,0,10,0,100,0,172800,1,60,366756852089463451294317,3852555810935947707800430,0,0,490474998566010578193426384,489413300711481930000000000,486585687959679000000000000,0,0,0,0,999500130200619254751611,1570481517243651169175356
100000000,0,0,10000,0,10,0,100,0,172800,1,60,0,3852555810935947707800430,0,0,490184737491269616957450686,489413300711481930000000000,485465295526588000000000000,0,0,0,0,1183292162304399999999999,1753446336948291169175356
100000000,0,1,0,0,10,0,100,0,172800,1,60,735318667649722315733718,3844200389005607264681571,0,0,490745774097781954931347253,489400910689089980000000000,488028787453121000000000000,0,0,0,0,866617669306997157826335,1330790063485536534898866
100000000,0,1,5000,0,10,0,100,0,172800,1,60,366756950950292652714319,3844200389005607264681571,0,0,490454443505738606569282617,489400910689089980000000000,486563887127035000000000000,0,0,0,0,995952129973640053331609,1570017319235726534898866
100000000,0,1,10000,0,10,0,100,0,172800,1,60,0,3844200389005607264681571,0,0,490164182430997645333306919,489400910689089980000000000,485443749864544000000000000,0,0,0,0,1179783758969139999999999,1752942640909476534898866
