tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,reserveCostBps,bufferDays,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,bootstrapWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,bufferPaidWei,residualSourceClaimWei
100000,4,0,5000,0,10,0,10,7,172800,1,60,745545336180747704216,7130754999510506520254,728147375046011952570,2592860894710702603259,644795296977019785304027,652128539112720000000000,656462420144000000000000,0,0,124,134,4009997462671,0
100000,4,0,10000,0,10,0,10,7,172800,1,60,0,7123766565798381308234,660302799982575805273,2366253157669816058243,645848381560045624971325,653179020691710000000000,656255107832000000000000,0,0,142,152,6026403578732209404,229817859047644313867
100000,4,1,0,0,10,0,10,7,172800,1,60,1417817778795119151532,6737892159368795706013,764977385795234503123,2091929017488698512928,575766132761183266062827,595480285089790000000000,600085359120000000000000,0,0,43,44,4009997465201,0
100000,4,1,5000,0,10,0,10,7,172800,1,60,709379143579708940930,6808081047060862437820,663217965873954665612,1879239951341158499518,577087240425455735513291,596804528892010000000000,601283970972000000000000,0,0,68,73,1991277182639816448,27747372698343517383
100000,4,1,10000,0,10,0,10,7,172800,1,60,0,6808295463356206297765,607911217765868490973,1832307407927755182245,578585581284427383209363,598305901346340000000000,601470549151000000000000,0,0,97,105,3043584698813730126,264752565101473878478
100000000,0,0,0,0,10,0,10,7,172800,1,60,731212871943761046566357,3689377911466537783179107,544154106806237501285450,4150000001125,478745236041836044623850644,562689527548836780000000000,564622289778968000000000000,0,0,185,197,274333515782695043447719,302458655724074399001961
100000000,0,0,5000,0,10,0,10,7,172800,1,60,365607353072928541018195,3689195294370057024181513,511415288852425907507394,3870000001125,478745236041836044623850644,573237126008093300000000000,575013150429103000000000000,0,0,214,229,271857353072239263091898,330380760972418120355401
100000000,0,0,10000,0,10,0,10,7,172800,1,60,0,3689195294370057024181513,478676470898630980396005,3870000001125,478745236041836044623850644,573237126008093300000000000,574673042903179000000000000,0,0,241,258,267458208814920034034559,387256833365358120355401
100000000,0,1,0,0,10,0,10,7,172800,1,60,731742721117797124985648,3690070667598933656277526,544154106806237501285450,5210000001125,478745236041836044623850644,532611745501384860000000000,534545201520591000000000000,0,0,185,197,274332339096073953748882,302459217098906460254675
100000000,0,1,5000,0,10,0,10,7,172800,1,60,365741025209546378731804,3689888038466750646216813,511415288852425907507394,4780000001125,478745236041836044623850644,543159327891902760000000000,544936049221969000000000000,0,0,215,229,271888126340122600184252,330380819159890185712186
