tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei,recoveryLiquidityWei
100000,0,0,0,0,85,10,25,0,172800,1,60,731953082370707617667,3763106150745274666489,0,37500053010000000000,485372751075000117468625,575722377260200000000000,577916569043892000000000,0,0,27,29,303465116391011468929,371747164756596833204,0
100000,0,0,5000,0,85,10,25,0,172800,1,60,365466129027271018651,3763999030248389864169,0,37500053010000000000,485159113336423179394585,575721229650000000000000,577852389272907000000000,0,0,57,61,348617019415117951301,382260510046584283681,0
100000,0,0,10000,0,85,10,25,0,172800,1,60,0,3764508584902999469691,0,37500053010000000000,484945117182729849170474,575720574644850000000000,577852243840485000000000,0,0,92,98,360904464794998790973,382260510038577825749,0
100000,0,1,0,0,85,10,25,0,172800,1,60,731825823313421833207,3766256878926402024626,0,37500053010000000000,485286908633918972958988,549157735071240000000000,551299832480835000000000,0,0,28,30,331080101027696462783,386728506431623150266,0
100000,0,1,5000,0,85,10,25,0,172800,1,60,365426381545584765031,3767181175780054719356,0,37500053010000000000,485038068434413371167261,549156731708040000000000,551234879535798000000000,0,0,59,63,373695339864104863514,397350162668545927413,0
100000,0,1,10000,0,85,10,25,0,172800,1,60,0,3767691269437427205964,0,37500053010000000000,485011597228590524864956,549156211173710000000000,551234869117227000000000,0,0,93,99,392925603356998790973,397350162669534946985,0
100000,1,0,0,0,85,10,25,0,172800,1,60,930173156105477487686,4791698749379594910144,0,37500053010000000000,716045898532794108781589,783596664617250000000000,786202384604022000000000,0,0,14,15,336319621857037972613,533307036635795805649,0
100000,1,0,5000,0,85,10,25,0,172800,1,60,462962124862837381209,4765925764956261835604,0,37500053010000000000,699112037325468193756669,781404318304920000000000,783966922214112000000000,0,0,31,34,503100261670444659555,535575334041496323349,0
100000,1,0,10000,0,85,10,25,0,172800,1,60,0,4818675248300939495004,0,37500053010000000000,701079468423551569427955,782711003775620000000000,785371337984520000000000,0,0,56,59,610066154970874880301,533458713550389300604,0
100000,1,1,0,0,85,10,25,0,172800,1,60,893872148718679829922,4603337718601104782573,0,37500053010000000000,700742729105130052210014,759178599799530000000000,761540561505630000000000,0,0,13,13,309070444008748362930,545742869123146896161,0
100000,1,1,5000,0,85,10,25,0,172800,1,60,444407552107782166752,4583949282285665931810,0,37500053010000000000,701937269935084395845485,761041176053180000000000,763265103594273000000000,0,0,27,30,475559324467681558558,562033818471585710454,0
100000,1,1,10000,0,85,10,25,0,172800,1,60,0,4625158888495659155537,0,37500053010000000000,703308219271618040933328,762553402870520000000000,764639407304883000000000,0,0,49,55,559530284142180944720,594258584816331400216,0
100000,2,0,0,0,85,10,25,0,172800,1,60,1525103910071259301715,4229245794925709131709,0,4942937897838253401130,465769174493485957260273,475884334240620000000000,476695738933155000000000,0,0,0,0,4000000000000,0,0
100000,2,0,5000,0,85,10,25,0,172800,1,60,760541142734071556582,4457717969183258776213,0,4311340442048059347674,465756434759198286027396,475884334240620000000000,476791233197301000000000,0,0,0,0,4000000000000,0,0
100000,2,0,10000,0,85,10,25,0,172800,1,60,0,4557386842170858164419,0,3593545501702595362722,465743695025920614794520,475884334240620000000000,476848164037473000000000,0,0,0,0,3011594187766,0,0
100000,2,1,0,0,85,10,25,0,172800,1,60,1637744589868531990261,6921203548833327584701,0,6714235959414967367306,465769174493485957260273,475884334240620000000000,477728918090784000000000,32,0,0,0,3004434209699,0,0
100000,2,1,5000,0,85,10,25,0,172800,1,60,814087495403519225254,6925899589564528785362,0,5891351946756913931579,465756434759198286027396,475884334240620000000000,477732834372582000000000,2,0,0,0,3012393522665,0,0
100000,2,1,10000,0,85,10,25,0,172800,1,60,0,6960604645805743151378,0,5099700580585348775478,465743695025920614794520,475884334240620000000000,477745110780885000000000,0,0,0,0,3003347600882,0,0
100000,3,0,0,0,85,10,25,0,172800,1,60,884979725663913736460,4165054704295116209868,0,2057098022682756978378,476804283241566968367559,475884334240620000000000,478877081937624000000000,0,0,0,0,3008842012937,0,0
100000,3,0,5000,0,85,10,25,0,172800,1,60,441021855533764472428,4140870610988509274573,0,1610025974692249460796,476729342617176152512388,475884334240620000000000,478856018039607000000000,0,0,0,0,3009483747684,0,0
100000,3,0,10000,0,85,10,25,0,172800,1,60,0,4143194796199123572192,0,1167746871359762397800,476654465127651792157294,475884334240620000000000,478859597116947000000000,0,0,0,0,3003761177331,0,0
100000,3,1,0,0,85,10,25,0,172800,1,60,884979725663913736460,4165054704295116209868,0,2057098022682756978378,476804283241566968367559,475884334240620000000000,478877081937624000000000,2,0,0,0,3008842012937,0,0
100000,3,1,5000,0,85,10,25,0,172800,1,60,441021855533764472428,4140870610988509274573,0,1610025974692249460796,476729342617176152512388,475884334240620000000000,478856018039607000000000,0,0,0,0,3009483747684,0,0
100000,3,1,10000,0,85,10,25,0,172800,1,60,0,4143194796199123572192,0,1167746871359762397800,476654465127651792157294,475884334240620000000000,478859597116947000000000,0,0,0,0,3003761177331,0,0
100000,4,0,0,0,85,10,25,0,172800,1,60,1484317762105906612132,7034893793963975725721,0,3633621251474729616348,664436474905737986533722,661332920197630000000000,666218246411457000000000,0,0,0,0,3008821709011,0,0
100000,4,0,5000,0,85,10,25,0,172800,1,60,738214716822523735470,7292790357778209750910,0,3079668268681158695109,649630116173048644646179,682774836355050000000000,687725881691013000000000,0,0,0,0,3007633662616,0,0
100000,4,0,10000,0,85,10,25,0,172800,1,60,0,7451727298498858300239,0,2460756156017934182496,639748362120410944241517,699407924356550000000000,704399659171065000000000,0,0,0,0,1054484521177257014,0,0
100000,4,1,0,0,85,10,25,0,172800,1,60,1426853448435871949383,7121175700944383332660,0,3628655152216370774502,580437349844954890572563,576136088840380000000000,581055165921276000000000,0,0,0,0,3008497553208,0,0
