tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei,recoveryLiquidityWei
100000,4,1,10000,0,85,10,50,0,172800,1,60,0,7245252783303815571521,0,2309819378584392885274,602508015599040444530186,601487564475920000000000,606424715826426000000000,0,0,0,0,2011887171869592205,0,0
100000000,0,0,0,0,85,10,50,0,172800,1,60,735152877002150326442208,3774231006665194671333708,0,37500000053010000000000,488090587622064411320436822,515858611962608590000000000,516500903221407450000000000,0,0,0,0,364561226657435400689674,778909706035129915508947,0
100000000,0,0,5000,0,85,10,50,0,172800,1,60,366672890365201068853558,3779682360410613815665376,0,37500000053010000000000,487812674171092906014566103,515857213040853900000000000,515159509705571538000000000,0,0,0,0,515533147281097120821581,1000291732769924745142528,0
100000000,0,0,10000,0,85,10,50,0,172800,1,60,0,3785069300988511831587680,0,37500000053010000000000,487535676340967406718756297,515855832045719930000000000,515164766873326353000000000,0,0,20,21,679355899395233000001760,1000295862605879234640651,0
100000000,0,1,0,0,85,10,50,0,172800,1,60,735150933610787200102406,3765920383507570580073263,0,37500000053010000000000,488070236846380953255952044,514670000341565740000000000,515398344148795797000000000,0,0,0,0,376714726004047133884697,764023771317408332550221,0
100000000,0,1,5000,0,85,10,50,0,172800,1,60,366673313193092679263176,3771435026964909630332848,0,37500000053010000000000,487792476577900957044032427,514668605496517980000000000,514045200762667809000000000,0,0,0,0,515952170664441981274578,988374427166337581582885,0
100000000,0,1,10000,0,85,10,50,0,172800,1,60,0,3776834087499165544020969,0,37500000053010000000000,487515486951123975255672572,515857982458928870000000000,515156778580867101000000000,0,0,19,21,677418616960981000001760,1000289579233292734431842,0
100000000,1,0,0,0,85,10,50,0,172800,1,60,936925968163447962257472,4800623090281529485941215,0,37500000053010000000000,711659938606958841378799646,720283114661112540000000000,720986394608587701000000000,0,0,0,0,310113274585464541136881,1018548701048090659530849,0
100000000,1,0,5000,0,85,10,50,0,172800,1,60,466565714793879240209039,4803092864319679664310368,0,37500000053010000000000,700127958966322542481880073,719446807610993820000000000,718758735637732416000000000,0,0,0,0,551525926879335202814005,1244613402335207665007480,0
100000000,1,0,10000,0,85,10,50,0,172800,1,60,0,4847786149683279455985018,0,37500000053010000000000,714232636491524922877808945,728840941217317910000000000,727322494159348947000000000,0,0,6,7,759346102137912000004634,1391790768488535352212514,0
100000000,1,1,0,0,85,10,50,0,172800,1,60,898908411064948453576506,4584455982386965338100660,0,37500000053010000000000,700662979170689159848230194,711702586848717860000000000,712647867457428885000000000,0,0,0,0,297681662929494835851295,925993518224676069123462,0
100000000,1,1,5000,0,85,10,50,0,172800,1,60,447031587438816081194152,4586705269456649279430956,0,37500000053010000000000,701919301295615723116157210,712742426009224990000000000,712039808047155237000000000,0,0,0,0,474559120846070235171509,1197973661579050869517672,0
100000000,1,1,10000,0,85,10,50,0,172800,1,60,0,4622103447527454633229769,0,37500000053010000000000,703327382587579327844458711,713835022139229100000000000,711759788275914549000000000,0,0,3,4,641941210447269000004735,1432761208022260160060171,0
100000000,2,0,0,0,85,10,50,0,172800,1,60,1529885446635114988319918,6552631637668459035534756,0,6348454728423559996866241,456737047381926405573738734,455986986704086340000000000,457721048929418424000000000,0,0,0,0,3009008545162,0,0
100000000,2,0,5000,0,85,10,50,0,172800,1,60,762194928298094421052918,6569923044266749443142270,0,5592423801639878980345956,456673285901600009272154044,455986986704086340000000000,457726680750343041000000000,0,0,0,0,3007559291879,0,0
100000000,2,0,10000,0,85,10,50,0,172800,1,60,0,6739921624893468787518503,0,4934675383177167805330509,456609566325964525148281779,455986986704086340000000000,457792232810389317000000000,0,0,0,0,3016805329321,0,0
100000000,2,1,0,0,85,10,50,0,172800,1,60,1644893781587895638152336,7496762919376165439494651,0,7056380616550540957976673,456737047381926405573738734,455986986704086340000000000,458072262640384182000000000,32,0,0,0,3009319823146,0,0
100000000,2,1,5000,0,85,10,50,0,172800,1,60,818103355447236116295998,7605294370712437910038942,0,6299478178449295417030292,456673285901600009272154044,455986986704086340000000000,458110906095159270000000000,2,0,0,0,3010300733118,0,0
100000000,2,1,10000,0,85,10,50,0,172800,1,60,0,7646323059920956928025915,0,5505823386790337239739028,456609566325964525148281779,455986986704086340000000000,458127486220106601000000000,0,0,0,0,3009239737847,0,0
100000000,3,0,0,0,85,10,50,0,172800,1,60,885005618290639508847648,4167864827592159164464795,0,2023490055474700966176514,457319229594129592301353129,455986986704086340000000000,459016366901644611000000000,0,0,0,0,3013457327618,0,0
100000000,3,0,5000,0,85,10,50,0,172800,1,60,441052532932064846317616,4160893966519470562974193,0,1577907813477987112023661,457205940107579207853744435,455986986704086340000000000,459011025200472831000000000,0,0,0,0,3010265704814,0,0
